Query Case,Cited Cases
0001908803.txt,"""['0000047629.txt', '0000260083.txt', '0000483241.txt', '0000714743.txt', '0000932629.txt', '0001030758.txt', '0001134697.txt', '0001693106.txt']"""
0000897981.txt,"""['0000020762.txt', '0000065796.txt', '0000120358.txt', '0000268805.txt', '0000321936.txt', '0000353548.txt', '0000359668.txt', '0000424874.txt', '0000505842.txt', '0000514077.txt', '0000608874.txt', '0000630326.txt', '0000632769.txt', '0000703393.txt', '0000861069.txt', '0000870926.txt', '0000986432.txt', '0001124708.txt', '0001130169.txt', '0001215617.txt', '0001215719.txt', '0001246653.txt', '0001260626.txt', '0001264252.txt', '0001336921.txt', '0001353689.txt', '0001494202.txt', '0001496509.txt', '0001685522.txt', '0001718426.txt', '0001759197.txt', '0001775396.txt', '0001810596.txt', '0001857950.txt', '0001887454.txt', '0013862901.txt', '0027098883.txt', '0185157692.txt']"""
0001082531.txt,"""['0000123803.txt', '0000253223.txt', '0001135750.txt', '0001858357.txt']"""
0000634963.txt,"""['0000421392.txt', '0000941440.txt', '0001282832.txt', '0001290893.txt', '0001413202.txt', '0001490699.txt', '0001790651.txt', '0001822621.txt']"""
0001398717.txt,"""['0000095533.txt', '0000106471.txt', '0000959413.txt', '0001002101.txt', '0001067634.txt', '0001098115.txt', '0001126538.txt', '0001476575.txt', '0001732313.txt', '0001806633.txt', '0001983714.txt']"""
0001598222.txt,"""['0000336404.txt', '0001408174.txt']"""
0001405295.txt,"""['0001370980.txt']"""
0000661219.txt,"""['0000485629.txt', '0001594526.txt']"""
0000434894.txt,"""['0000044019.txt', '0000212760.txt', '0000294291.txt', '0000362762.txt', '0000368689.txt', '0001010482.txt', '0001125647.txt', '0001273537.txt', '0001563613.txt', '0001626264.txt', '0001719283.txt', '0001792326.txt']"""
0000748350.txt,"""['0001373432.txt']"""
0027084787.txt,"""['0000328628.txt', '0000487832.txt', '0000518437.txt', '0000538569.txt', '0000790482.txt', '0001184334.txt', '0001405295.txt', '0001472998.txt', '0001491020.txt', '0001794806.txt', '0001831380.txt']"""
0001917401.txt,"""['0000382209.txt']"""
0001846280.txt,"""['0000142305.txt', '0000637542.txt']"""
0033876126.txt,"""['0000399708.txt', '0000781949.txt', '0001046518.txt', '0001059476.txt', '0001239058.txt', '0001300023.txt', '0001511412.txt', '0001944204.txt', '0005523291.txt', '0073864943.txt', '0091099808.txt', '0132692083.txt', '0181443842.txt']"""
0000463960.txt,"""['0000424370.txt', '0001327417.txt', '0001425228.txt', '0001555387.txt', '0001845151.txt', '0001923048.txt']"""
0001070258.txt,"""['0000915546.txt', '0000954167.txt', '0001734620.txt', '0001930596.txt']"""
0001035123.txt,"""['0000040914.txt', '0000198357.txt', '0000802260.txt', '0000991170.txt']"""
0000096494.txt,"""['0000049043.txt', '0000331744.txt', '0000345466.txt', '0000509148.txt', '0001195014.txt', '0001251810.txt', '0001366728.txt', '0001628129.txt', '0001892036.txt']"""
0000909297.txt,"""['0000470118.txt', '0000772919.txt', '0000982107.txt', '0001336659.txt', '0001810596.txt', '0001936517.txt', '0001979462.txt']"""
0001617498.txt,"""['0000055098.txt', '0000615469.txt', '0000791872.txt', '0000891756.txt', '0001157189.txt', '0001355522.txt', '0001417510.txt', '0001638658.txt']"""
0001632707.txt,"""['0000249256.txt']"""
0000380642.txt,"""['0000572376.txt', '0001966624.txt']"""
0001324656.txt,"""['0001003248.txt', '0001592277.txt']"""
0000881663.txt,"""['0000502746.txt', '0001367601.txt', '0001425329.txt', '0001648434.txt', '0001781444.txt']"""
0001093168.txt,"""['0000043025.txt', '0001266379.txt', '0001703230.txt', '0001889370.txt', '0001917957.txt']"""
0001049925.txt,"""['0000302099.txt', '0000554839.txt', '0001734497.txt']"""
0001472998.txt,"""['0000401784.txt', '0000994707.txt', '0001035319.txt', '0001060130.txt', '0001092571.txt', '0001546384.txt', '0001643138.txt', '0001770644.txt']"""
0001173428.txt,"""['0000577658.txt', '0001492752.txt']"""
0001446441.txt,"""['0000504910.txt', '0000766402.txt', '0001824029.txt']"""
0000777166.txt,"""['0000012637.txt', '0000416340.txt', '0000590011.txt', '0000676779.txt', '0000699257.txt', '0000907847.txt', '0001085477.txt', '0001101230.txt', '0001133699.txt', '0001207302.txt', '0001208473.txt', '0001289506.txt', '0001627481.txt', '0001693454.txt', '0001738247.txt', '0001904485.txt', '0055612426.txt', '0184401603.txt']"""
0001309362.txt,"""['0000599322.txt', '0001029775.txt', '0001338548.txt', '0001404351.txt', '0001940551.txt', '0090469007.txt']"""
0001406160.txt,"""['0000417295.txt', '0000585632.txt', '0000736384.txt', '0001137856.txt', '0001176099.txt', '0001214148.txt', '0001337960.txt', '0001417795.txt', '0001541798.txt', '0001812238.txt', '0001895770.txt']"""
0001945016.txt,"""['0000254739.txt', '0001201493.txt', '0001822232.txt']"""
0001990048.txt,"""['0001309362.txt', '0001644913.txt', '0091544221.txt']"""
0001938988.txt,"""['0000516808.txt', '0000528276.txt', '0000690751.txt', '0000693505.txt', '0000734085.txt', '0000837400.txt', '0001626264.txt']"""
0000694936.txt,"""['0000309502.txt', '0000372465.txt', '0000806710.txt', '0000863948.txt', '0001239058.txt', '0001465665.txt', '0001732740.txt']"""
0000713954.txt,"""['0000251775.txt', '0000416340.txt', '0000665039.txt', '0001391894.txt']"""
0000913087.txt,"""['0000485394.txt', '0000534034.txt', '0000557996.txt', '0000594165.txt', '0000685498.txt', '0000855018.txt', '0000871286.txt', '0000955126.txt', '0001388011.txt', '0001886518.txt', '0001984913.txt', '0179794777.txt']"""
0000545301.txt,"""['0001201493.txt', '0076696826.txt']"""
0000533982.txt,"""['0000249256.txt', '0000477921.txt', '0000516149.txt', '0001009269.txt', '0001284785.txt', '0001565205.txt', '0001632707.txt', '0001708628.txt', '0001711395.txt', '0001909159.txt']"""
0001831274.txt,"""['0000068469.txt', '0000102697.txt', '0000114182.txt', '0000198387.txt', '0000245628.txt', '0000447308.txt', '0000458101.txt', '0000507731.txt', '0000617281.txt', '0001129467.txt', '0001141174.txt', '0001306907.txt', '0001374934.txt', '0001431651.txt', '0001455346.txt', '0001831036.txt', '0069408974.txt']"""
0001708784.txt,"""['0000923270.txt', '0001190725.txt', '0001981550.txt']"""
0000332955.txt,"""['0000009324.txt', '0000016616.txt', '0000017843.txt', '0000195197.txt', '0000249252.txt', '0000262260.txt', '0000355457.txt', '0000563571.txt', '0000819589.txt', '0001009031.txt', '0001197810.txt', '0001415348.txt', '0001649618.txt', '0001682326.txt', '0001704752.txt', '0001775700.txt', '0001842303.txt', '0001876107.txt']"""
0001427520.txt,"""['0000611344.txt']"""
0000996560.txt,"""['0001698796.txt']"""
0000399708.txt,"""['0000424370.txt', '0000579074.txt', '0000608874.txt', '0001045974.txt', '0001859206.txt', '0001893618.txt']"""
0000473122.txt,"""['0000004617.txt', '0001803942.txt']"""
0000868968.txt,"""['0000039371.txt', '0000124202.txt', '0000137514.txt', '0000162288.txt', '0000309285.txt', '0000458404.txt', '0000472232.txt', '0000554586.txt', '0000727248.txt', '0000730146.txt', '0000799736.txt', '0000838667.txt', '0000934001.txt', '0001129467.txt', '0001141174.txt', '0001146501.txt', '0001246653.txt', '0001306907.txt', '0001347915.txt', '0001590471.txt', '0001831274.txt', '0001865363.txt', '0001865791.txt', '0197881066.txt']"""
0000905079.txt,"""['0000271192.txt', '0000326359.txt', '0000871828.txt', '0001835011.txt', '0001864479.txt']"""
0000084063.txt,"""['0000594515.txt', '0000615273.txt']"""
